"","Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude"
"726","Ashwood","31a Shaw St",3,"t",880000,"PI","Fletchers","23/04/2016",12.2,3147,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"728","Ashwood","1/27 Electra Av",2,"u",675000,"S","Buxton","24/09/2016",12.2,3147,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"730","Ashwood","12 Leonard St",4,"h",1350000,"S","Buxton","24/09/2016",12.2,3147,4,2,1,727,146.861538586252,1970,"Monash",-37.8669,145.1106
"731","Ashwood","4 Teck St",2,"h",1110000,"S","Fletchers","24/09/2016",12.2,3147,2,1,1,586,86,1950,"Monash",-37.8683,145.1082
"732","Ashwood","14 Ashwood Dr",3,"h",1305000,"S","Jellis","25/02/2017",12.2,3147,3,1,1,760,120,1960,"Monash",-37.858,145.1038
"734","Ashwood","1/2 Condah Ct",3,"h",855000,"S","Noel","25/02/2017",12.2,3147,3,2,1,320,85,1958,"Monash",-37.87,145.1103
"735","Ashwood","44 Power Av",3,"h",900000,"VB","Tim","25/02/2017",12.2,3147,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"736","Ashwood","6a Sylvan Cr",4,"t",1400000,"S","Buxton","25/02/2017",12.2,3147,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"738","Ashwood","2/2 Heather Av",3,"t",964000,"S","Tim","27/06/2016",12.2,3147,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"740","Ashwood","1/16 Raymond St",3,"t",900500,"S","Jellis","27/11/2016",12.2,3147,3,2,2,256,134,2012,"Monash",-37.8655,145.1096
"744","Ashwood","4 Newbury Ct",3,"h",1200000,"VB","Buxton","28/05/2016",12.2,3147,3,2,2,839,198,1970,"Monash",-37.8614,145.1098
"746","Ashwood","2/53 Salisbury Rd",3,"t",830000,"S","Barry","28/08/2016",12.2,3147,2,1,2,212,130,2012,"Monash",-37.8723,145.1089
"748","Avondale Heights","13 MacEy Av",4,"h",1310000,"S","Jellis","3/09/2016",10.5,3034,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"749","Avondale Heights","8 Norma Ct",3,"h",850000,"S","Moonee","3/09/2016",10.5,3034,3,1,1,593,118,1970,"Moonee Valley",-37.7677,144.8674
"751","Avondale Heights","157 Canning St",3,"t",851000,"S","Nelson","3/12/2016",10.5,3034,3,3,1,557,181,2017,"Moonee Valley",-37.77,144.8572
"753","Avondale Heights","105 Canning St",3,"h",848000,"S","Nelson","4/03/2017",10.5,3034,3,1,2,542,146.861538586252,1970,"Moonee Valley",-37.7706,144.8629
"754","Avondale Heights","36 Wood St",4,"h",806000,"S","Moonee","4/03/2017",10.5,3034,4,2,1,350,146.861538586252,2008,"Moonee Valley",-37.7676,144.859
"755","Avondale Heights","2 Arbor Tce",4,"h",1155000,"S","Nelson","4/06/2016",10.5,3034,3,2,2,569,225,2008,"Moonee Valley",-37.7654,144.8655
"756","Avondale Heights","3 Karen Ct",3,"h",670000,"VB","Nelson","4/06/2016",10.5,3034,3,2,2,671,146.861538586252,1970,"Moonee Valley",-37.7593,144.871
"757","Avondale Heights","6 Lovett Dr",4,"h",1200000,"S","Nelson","4/06/2016",10.5,3034,4,5,4,673,146.861538586252,1970,"Moonee Valley",-37.7545,144.8736
"758","Avondale Heights","12 Skewes St",3,"h",636000,"S","Nelson","4/06/2016",10.5,3034,2,1,2,571,146.861538586252,1970,"Moonee Valley",-37.7605,144.8581
"759","Avondale Heights","16 Arcade Wy",3,"h",655000,"S","Nelson","6/08/2016",10.5,3034,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"761","Avondale Heights","68 Thompson St",3,"h",680000,"S","Nelson","6/08/2016",10.5,3034,3,1,2,570,120,1970,"Moonee Valley",-37.7591,144.8542
"763","Avondale Heights","14 Lovett Dr",4,"h",1160000,"S","Moonee","7/05/2016",10.5,3034,4,3,2,789,146.861538586252,1970,"Moonee Valley",-37.7537,144.8729
"764","Avondale Heights","9 Arcade Wy",3,"h",560000,"SP","Moonee","8/10/2016",10.5,3034,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"765","Avondale Heights","31 Duke St",3,"h",750000,"S","Barry","8/10/2016",10.5,3034,3,1,1,529,146.861538586252,1970,"Moonee Valley",-37.7721,144.8576
"766","Avondale Heights","97 Military Rd",3,"h",627500,"SP","Moonee","8/10/2016",10.5,3034,3,1,1,550,143,1970,"Moonee Valley",-37.7632,144.8622
"767","Avondale Heights","21 River Dr",3,"t",880000,"S","Moonee","8/10/2016",10.5,3034,3,2,2,339,146.861538586252,1970,"Moonee Valley",-37.7519,144.8534
"768","Avondale Heights","43 Riverside Av",3,"h",825000,"S","Brad","8/10/2016",10.5,3034,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"769","Avondale Heights","35 Templewood Cr",4,"h",1372000,"S","Nelson","8/10/2016",10.5,3034,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"770","Avondale Heights","3 Clive Ct",4,"h",950000,"S","Moonee","10/12/2016",10.5,3034,4,3,3,761,281,1970,"Moonee Valley",-37.7524,144.8714
"772","Avondale Heights","40 Templewood Cr",4,"h",1200000,"S","Nelson","10/12/2016",10.5,3034,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"774","Avondale Heights","15 Dumas Av",3,"h",825000,"SP","Biggin","11/02/2017",10.5,3034,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"775","Avondale Heights","2/6 Nelson Ct",2,"t",585000,"S","Barry","11/02/2017",10.5,3034,2,1,1,136,146.861538586252,2012,"Moonee Valley",-37.7623,144.8613
"777","Avondale Heights","129 Templewood Cr",4,"h",1631000,"S","Nelson","14/05/2016",10.5,3034,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"779","Avondale Heights","7 Monmouth St",3,"h",650000,"SP","Moonee","15/10/2016",10.5,3034,3,1,3,574,146.861538586252,1970,"Moonee Valley",-37.7627,144.857
"780","Avondale Heights","15 River Dr",3,"h",725000,"SP","Moonee","15/10/2016",10.5,3034,3,1,4,606,146.861538586252,1970,"Moonee Valley",-37.752,144.854
"781","Avondale Heights","16a Arbor Tce",3,"u",665000,"S","Brad","16/04/2016",10.5,3034,3,2,1,289,146.861538586252,1970,"Moonee Valley",-37.7644,144.8657
"782","Avondale Heights","40a Herbert St",3,"h",560500,"S","Nelson","16/04/2016",10.5,3034,3,1,1,177,146.861538586252,1970,"Moonee Valley",-37.7664,144.8583
"783","Avondale Heights","185 Military Rd",3,"h",615000,"SP","Moonee","16/07/2016",10.5,3034,3,1,2,649,146.861538586252,1970,"Moonee Valley",-37.758,144.86
"784","Avondale Heights","33 Wood St",3,"h",845000,"S","Nelson","16/07/2016",10.5,3034,3,1,3,704,146.861538586252,1970,"Moonee Valley",-37.7681,144.8592
"785","Avondale Heights","14 Herbert St",3,"h",585000,"SA","Barry","17/09/2016",10.5,3034,3,1,2,322,146.861538586252,1970,"Moonee Valley",-37.7686,144.8576
"786","Avondale Heights","2/10 Military Rd",2,"u",440000,"S","Nelson","18/03/2017",10.5,3034,2,1,1,263,146.861538586252,1999,"Moonee Valley",-37.7697,144.8657
"787","Avondale Heights","9 Willow Dr",3,"h",850000,"S","Moonee","18/03/2017",10.5,3034,3,1,2,766,149,1970,"Moonee Valley",-37.7522,144.8518
"788","Avondale Heights","25 MacEy Av",3,"h",775000,"S","Brad","18/06/2016",10.5,3034,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"790","Avondale Heights","8 Herbert St",3,"h",705000,"S","Nelson","22/05/2016",10.5,3034,3,1,1,581,106,1960,"Moonee Valley",-37.7691,144.8575
"791","Avondale Heights","2 Hillman Ct",4,"h",1100000,"VB","Brad","22/05/2016",10.5,3034,4,3,2,873,395,1992,"Moonee Valley",-37.7609,144.8639
"792","Avondale Heights","18 Langham St",3,"h",710000,"SP","Moonee","22/05/2016",10.5,3034,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"793","Avondale Heights","20 Westminster Dr",3,"h",892500,"S","Nelson","22/05/2016",10.5,3034,3,1,1,586,118,1965,"Moonee Valley",-37.7642,144.8603
"794","Avondale Heights","23 River Dr",3,"t",730000,"VB","Barry","22/08/2016",10.5,3034,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"795","Avondale Heights","17 Lacy St",3,"h",790000,"S","HAR","23/04/2016",10.5,3034,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"796","Avondale Heights","8 Moffat St",3,"h",695000,"S","HAR","23/04/2016",10.5,3034,3,1,2,588,146.861538586252,1970,"Moonee Valley",-37.771,144.8586
"797","Avondale Heights","1 Templewood Cr",4,"h",855000,"PI","Nelson","23/04/2016",10.5,3034,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"798","Avondale Heights","1/24 Bordeaux St",2,"h",522500,"S","Nelson","24/09/2016",10.5,3034,2,1,1,220,101,1995,"Moonee Valley",-37.756,144.8641
"799","Avondale Heights","7 Landau Pl",4,"h",990000,"S","Moonee","24/09/2016",10.5,3034,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"800","Avondale Heights","72 Military Rd",4,"h",680000,"PI","Nelson","24/09/2016",10.5,3034,4,2,2,554,140,1960,"Moonee Valley",-37.7649,144.8633
"801","Avondale Heights","1/5 South Tce",3,"u",500000,"S","Nelson","24/09/2016",10.5,3034,3,1,1,260,146.861538586252,1990,"Moonee Valley",-37.7507,144.8576
"802","Avondale Heights","1/4 Weyburn Pl",2,"t",550000,"SP","Moonee","24/09/2016",10.5,3034,2,1,2,158,146.861538586252,1993,"Moonee Valley",-37.7592,144.8681
"803","Avondale Heights","19 Clarendon St",3,"h",730000,"S","Jas","25/02/2017",10.5,3034,3,2,2,705,146.861538586252,1970,"Moonee Valley",-37.766,144.8596
"804","Avondale Heights","2 Drake Ct",3,"h",875000,"S","Edward","25/02/2017",10.5,3034,3,1,3,812,117,1960,"Moonee Valley",-37.765,144.8578
"807","Avondale Heights","61 Doyle St",3,"h",635000,"SP","Moonee","26/07/2016",10.5,3034,3,1,1,597,146.861538586252,1970,"Moonee Valley",-37.7568,144.8572
"808","Avondale Heights","109 North Rd",4,"h",762000,"S","Nelson","26/07/2016",10.5,3034,4,2,2,589,150,1961,"Moonee Valley",-37.7573,144.8534
"809","Avondale Heights","17 Cresswold Av",3,"h",1215000,"S","Moonee","27/06/2016",10.5,3034,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"810","Avondale Heights","1/1 Amis Cr",3,"u",610000,"SP","Moonee","27/11/2016",10.5,3034,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"811","Avondale Heights","7 Arvern Av",4,"h",815000,"S","Moonee","27/11/2016",10.5,3034,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"812","Avondale Heights","17 Cannes Av",4,"h",820000,"VB","Nelson","27/11/2016",10.5,3034,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"814","Avondale Heights","10 Intervale Dr",4,"h",790000,"S","Barry","27/11/2016",10.5,3034,4,2,2,570,146.861538586252,1970,"Moonee Valley",-37.7513,144.859
"816","Avondale Heights","10 Skewes St",3,"h",805000,"S","Nelson","27/11/2016",10.5,3034,3,2,2,593,103,1970,"Moonee Valley",-37.7607,144.8581
"817","Avondale Heights","62 Skewes St",4,"h",890000,"S","Moonee","27/11/2016",10.5,3034,4,2,4,585,146.861538586252,1960,"Moonee Valley",-37.757,144.8566
"818","Avondale Heights","49 Rogerson St",3,"h",795000,"S","Barry","28/05/2016",10.5,3034,3,1,1,549,146.861538586252,1970,"Moonee Valley",-37.7644,144.8575
"819","Avondale Heights","43 Skewes St",3,"h",634000,"S","Nelson","28/05/2016",10.5,3034,4,2,1,582,153,1950,"Moonee Valley",-37.7584,144.8568
"820","Avondale Heights","63 Doyle St",3,"h",642000,"SP","Moonee","28/08/2016",10.5,3034,3,1,1,590,146.861538586252,1960,"Moonee Valley",-37.7567,144.8572
"821","Avondale Heights","14 Laura Gr",3,"h",730000,"S","Moonee","28/08/2016",10.5,3034,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"822","Avondale Heights","235 Military Rd",3,"h",863000,"S","Barry","28/08/2016",10.5,3034,3,2,3,638,146.861538586252,1970,"Moonee Valley",-37.7546,144.8585
"823","Avondale Heights","57 North Rd",3,"h",740000,"SP","Moonee","28/08/2016",10.5,3034,3,1,2,607,146.861538586252,1970,"Moonee Valley",-37.7546,144.857
"824","Balaclava","18 Linton St",4,"h",1819000,"S","Gary","3/09/2016",6.6,3183,3,2,1,244,180,1900,"Port Phillip",-37.8668,144.9928
"828","Balaclava","1/34 Gourlay St",2,"t",1015000,"S","Gary","7/11/2016",6.6,3183,2,1,2,114,120,2000,"Port Phillip",-37.8723,144.9961
"830","Balaclava","7/38 Brighton Rd",1,"u",438000,"S","Beller","14/05/2016",6.6,3183,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"836","Balaclava","6 Blenheim St",3,"h",1193000,"S","McGrath","18/06/2016",6.6,3183,3,1,1,178,100,1920,"Port Phillip",-37.8663,144.9948
"841","Balaclava","10 Grosvenor St",3,"h",1690000,"S","McGrath","25/02/2017",6.6,3183,3,2,2,339,159,1890,"Port Phillip",-37.872,144.9909
"843","Balaclava","3/33 Gourlay St",2,"u",540000,"VB","McGrath","27/06/2016",6.6,3183,2,1,1,483,51,1970,"Port Phillip",-37.8727,144.9969
"844","Balaclava","41 Marlborough St",3,"h",1080000,"S","Buxton","27/06/2016",6.6,3183,3,1,1,157,146.861538586252,1928,"Port Phillip",-37.8696,144.9925
"848","Balwyn","166 Gordon St",2,"h",2100000,"S","Marshall","3/09/2016",9.7,3103,2,1,1,659,123,1920,"Boroondara",-37.8094,145.0807
"849","Balwyn","36 Narrak Rd",4,"h",1800000,"VB","Marshall","3/09/2016",9.7,3103,4,2,2,715,218,1985,"Boroondara",-37.811,145.0958
"850","Balwyn","2/16 Westminster St",2,"t",1255000,"S","Noel","3/09/2016",9.7,3103,2,1,1,208,129,2000,"Boroondara",-37.8128,145.0975
"851","Balwyn","2/74 Balwyn Rd",3,"u",1070000,"SA","Philip","3/12/2016",9.7,3103,3,2,2,206,112,1998,"Boroondara",-37.8161,145.0812
"852","Balwyn","19 Belgrove Av",4,"h",2200000,"S","Marshall","3/12/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"856","Balwyn","129 Gordon St",3,"h",2200000,"S","North","3/12/2016",9.7,3103,3,3,2,651,266,1970,"Boroondara",-37.8085,145.0764
"858","Balwyn","5/14 Parring Rd",2,"u",806000,"S","Noel","3/12/2016",9.7,3103,2,1,1,122,97,1977,"Boroondara",-37.8124,145.0916
"862","Balwyn","120/188 Whitehorse Rd",1,"u",450000,"VB","MICM","4/02/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"863","Balwyn","12/37 Banool Rd",3,"t",1400000,"PI","Ascend","4/03/2017",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"865","Balwyn","3/30 Cremorne St",2,"u",812000,"S","Jellis","4/03/2017",9.7,3103,2,1,1,206,146.861538586252,1970,"Boroondara",-37.8092,145.0778
"868","Balwyn","9/5 Boston Rd",3,"h",1140000,"S","Nelson","4/06/2016",9.7,3103,3,2,2,175,146.861538586252,1976,"Boroondara",-37.8162,145.0771
"874","Balwyn","1/37 Yongala St",3,"h",1255000,"PI","Noel","4/06/2016",9.7,3103,3,2,2,308,146.861538586252,1970,"Boroondara",-37.8056,145.0788
"875","Balwyn","142 Balwyn Rd",2,"h",1850000,"VB","Fletchers","6/08/2016",9.7,3103,3,1,1,1015,166,1930,"Boroondara",-37.8074,145.0826
"878","Balwyn","9/11 Parring Rd",2,"u",805000,"S","Noel","6/08/2016",9.7,3103,3,1,1,209,146.861538586252,1975,"Boroondara",-37.8125,145.0901
"879","Balwyn","24 Bennett St",4,"h",2000000,"PI","RT","7/05/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"882","Balwyn","4/3 King St",3,"h",700000,"VB","Marshall","7/05/2016",9.7,3103,3,1,1,188,110,1970,"Boroondara",-37.8065,145.065
"883","Balwyn","27 Nungerner St",4,"h",2130000,"PI","Jellis","7/05/2016",9.7,3103,4,2,2,664,146.861538586252,1970,"Boroondara",-37.8055,145.0699
"885","Balwyn","3 Westminster St",3,"h",2125000,"SP","Jellis","7/05/2016",9.7,3103,3,2,2,699,252,1985,"Boroondara",-37.814,145.0966
"888","Balwyn","2/42 Talbot Av",2,"u",648000,"S","hockingstuart","7/11/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"889","Balwyn","13 Naroo St",4,"h",1800000,"PI","Jellis","8/10/2016",9.7,3103,3,2,2,577,200,1948,"Boroondara",-37.8032,145.0693
"890","Balwyn","4/339 Union Rd",3,"h",1020000,"VB","Marshall","8/10/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"894","Balwyn","2/23 Northcote Av",3,"t",1500000,"PI","Noel","10/09/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"895","Balwyn","6 Tonkin Av",2,"h",1900000,"VB","Marshall","10/09/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"897","Balwyn","9/204 Whitehorse Rd",1,"h",390000,"VB","Jellis","10/09/2016",9.7,3103,1,1,1,740,146.861538586252,1970,"Boroondara",-37.8125,145.0775
"900","Balwyn","1/18 Belmore Rd",3,"h",905000,"S","Kay","10/12/2016",9.7,3103,3,1,2,281,150,1995,"Boroondara",-37.8013,145.0652
"901","Balwyn","316 Belmore Rd",4,"h",1750000,"PI","Ascend","10/12/2016",9.7,3103,4,3,2,453,308,2016,"Boroondara",-37.8044,145.1006
"902","Balwyn","11/22 Brenbeal St",2,"t",760000,"S","Christopher","10/12/2016",9.7,3103,2,1,1,121,100,1960,"Boroondara",-37.8112,145.0881
"903","Balwyn","7/1 Conway Cr",2,"u",550000,"SP","Noel","10/12/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"905","Balwyn","3/3 Iramoo St",3,"t",1367000,"S","Jellis","10/12/2016",9.7,3103,3,2,2,219,164,2003,"Boroondara",-37.8125,145.0849
"906","Balwyn","9/7 Kireep Rd",3,"t",788000,"S","Fletchers","10/12/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"909","Balwyn","2/111 Strabane Av",3,"h",1050000,"SP","Marshall","10/12/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"911","Balwyn","2/8 Evelina St",4,"t",1400000,"PI","Noel","12/11/2016",9.7,3103,4,3,2,241,240,2009,"Boroondara",-37.8042,145.1042
"913","Balwyn","7/7 Kireep Rd",3,"u",662500,"S","Jellis","12/11/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"916","Balwyn","3/4 Pretoria St",3,"u",1280000,"S","Noel","12/11/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"917","Balwyn","6/10 Brenbeal St",2,"u",625000,"PI","Jellis","13/08/2016",9.7,3103,2,1,1,115,104,1960,"Boroondara",-37.8122,145.0879
"918","Balwyn","4/4 Raynes St",2,"t",700000,"VB","Noel","13/08/2016",9.7,3103,2,1,1,104,146.861538586252,1970,"Boroondara",-37.8061,145.0878
"920","Balwyn","3/5 Dunure Ct",4,"t",1920000,"PI","Ray","14/05/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"933","Balwyn","3/94 Balwyn Rd",2,"u",1053000,"S","Fletchers","16/07/2016",9.7,3103,2,1,2,231,98,1985,"Boroondara",-37.8123,145.0821
"934","Balwyn","1/7 Boston Rd",3,"h",1800000,"VB","Marshall","16/07/2016",9.7,3103,3,2,2,380,146.861538586252,1980,"Boroondara",-37.8161,145.0772
"936","Balwyn","1/32 Yerrin St",3,"t",1472000,"S","Noel","16/07/2016",9.7,3103,3,2,2,306,170,1995,"Boroondara",-37.8106,145.0848
"937","Balwyn","53 Metung St",3,"h",2120000,"S","Jellis","17/09/2016",9.7,3103,3,1,2,651,146.861538586252,1970,"Boroondara",-37.8036,145.0715
"939","Balwyn","35a Stroud St",4,"h",1800000,"VB","Fletchers","17/09/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"940","Balwyn","87 Yerrin St",3,"h",1910000,"S","Jellis","17/09/2016",9.7,3103,3,1,2,697,146.861538586252,1970,"Boroondara",-37.8044,145.0853
"941","Balwyn","5/95 Balwyn Rd",2,"u",754000,"PI","Marshall","18/03/2017",9.7,3103,2,1,1,87,88,1990,"Boroondara",-37.8134,145.081
"943","Balwyn","20 Henley St",3,"h",1605000,"SP","Marshall","18/03/2017",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,-37.807,145.0766
"952","Balwyn","110 Strabane Av",3,"h",1490000,"S","Fletchers","18/06/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"953","Balwyn","1/48 Talbot Av",3,"u",905000,"S","Jellis","18/06/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"955","Balwyn","29 Bevan St",4,"h",2188000,"S","Marshall","19/11/2016",9.7,3103,4,2,2,752,253,1981,"Boroondara",-37.8149,145.0747
"956","Balwyn","2/30 Kalimna St",2,"u",755000,"PI","Noel","19/11/2016",9.7,3103,2,1,1,213,92,1980,"Boroondara",-37.8092,145.0789
"959","Balwyn","34 Monash Av",4,"h",1947000,"SP","Morrison","22/05/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"965","Balwyn","7 Naroo St",4,"h",1801000,"S","Noel","22/08/2016",9.7,3103,4,2,2,583,146.861538586252,1970,"Boroondara",-37.8027,145.0694
"966","Balwyn","6/11 Yarrbat Av",3,"t",1100000,"VB","Jellis","22/08/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"974","Balwyn","14 Kinsale Cr",4,"h",1820000,"SP","Marshall","25/02/2017",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"977","Balwyn","3/14 Weir St",3,"t",1385000,"S","Jellis","25/02/2017",9.7,3103,3,2,2,190,146.861538586252,1970,"Boroondara",-37.8164,145.0846
"982","Balwyn","26 Wills St",4,"h",2000000,"PI","hockingstuart","27/06/2016",9.7,3103,3,1,2,739,291,1930,"Boroondara",-37.8039,145.0631
"983","Balwyn","165 Balwyn Rd",4,"h",1900000,"S","Mandy","27/11/2016",9.7,3103,4,2,1,665,155,1940,"Boroondara",-37.8057,145.0825
"988","Balwyn","47 Naroo St",3,"h",1750000,"VB","Jellis","27/11/2016",9.7,3103,3,2,3,613,193,1943,"Boroondara",-37.8056,145.0688
"994","Balwyn","6 Abercrombie St",3,"h",1810000,"S","Fletchers","28/05/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"995","Balwyn","1/74 Balwyn Rd",3,"t",1100000,"S","hockingstuart","28/05/2016",9.7,3103,3,2,1,259,146.861538586252,1940,"Boroondara",-37.8161,145.0809
"1000","Balwyn","23 Wills St",3,"h",1912000,"S","Fletchers","28/05/2016",9.7,3103,2,1,2,844,146.861538586252,1970,"Boroondara",-37.8037,145.0636
"1002","Balwyn","3/12 Brenbeal St",2,"u",730000,"S","hockingstuart","28/08/2016",9.7,3103,2,1,1,130,80,1960,"Boroondara",-37.812,145.0876
"1003","Balwyn","51 Elliott Av",4,"h",1530000,"S","hockingstuart","28/08/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1006","Balwyn","321a Union Rd",3,"h",1500000,"SP","Noel","28/08/2016",9.7,3103,3,2,2,404,190,2011,"Boroondara",-37.8075,145.1011
"1007","Balwyn","46 Yongala St",3,"h",1850000,"S","Fletchers","28/08/2016",9.7,3103,3,1,1,607,146.861538586252,1950,"Boroondara",-37.8058,145.0781
"1009","Balwyn","33 Power St",4,"h",1700000,"VB","Marshall","30/07/2016",9.7,3103,3,1,1,672,115,1935,"Boroondara",-37.8099,145.0792
"1011","Balwyn North","3/41 Clifton St",3,"t",1315000,"S","hockingstuart","3/09/2016",9.2,3104,3,2,2,260,167,2000,"Boroondara",-37.7966,145.1021
"1012","Balwyn North","153 Doncaster Rd",3,"h",1500000,"PI","Jellis","3/09/2016",9.2,3104,3,2,1,778,154,1950,"Boroondara",-37.7939,145.0789
"1014","Balwyn North","32 Jaserfold St",2,"h",1080000,"S","Jellis","3/09/2016",9.2,3104,2,1,1,253,146.861538586252,1970,"Boroondara",-37.7912,145.085
"1015","Balwyn North","2/5 Marwal Av",4,"u",1450000,"S","hockingstuart","3/09/2016",9.2,3104,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1016","Balwyn North","32 Maylands Av",2,"h",1305000,"S","Fletchers","3/09/2016",9.2,3104,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1018","Balwyn North","25 Bolinda Rd",4,"h",1905000,"S","Noel","3/12/2016",9.2,3104,4,2,2,647,185,1955,"Boroondara",-37.7917,145.0868
"1020","Balwyn North","30 Hood St",4,"h",1900000,"VB","Fletchers","3/12/2016",9.2,3104,4,2,2,642,215,1955,"Boroondara",-37.7988,145.0726
"1024","Balwyn North","45 Riverside Av",3,"h",2160000,"S","Jellis","3/12/2016",9.2,3104,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"1025","Balwyn North","13 Riverview Rd",4,"h",2205000,"PI","RW","3/12/2016",9.2,3104,4,2,2,750,214,1950,"Boroondara",-37.7906,145.0788
"1026","Balwyn North","43 Sweyn St",3,"h",1265000,"S","hockingstuart","3/12/2016",9.2,3104,3,2,1,347,160,2011,"Boroondara",-37.7947,145.1035
"1029","Balwyn North","3 Highbury St",3,"h",2000000,"S","R&H","4/03/2017",9.2,3104,3,1,3,772,146.861538586252,1970,"Boroondara",-37.7938,145.0732
"1030","Balwyn North","14 Kawarren St",4,"h",1750000,"S","Kay","4/03/2017",9.2,3104,4,2,2,673,185,1960,"Boroondara",-37.7856,145.0918
"1031","Balwyn North","88 Longview Rd",3,"h",1450000,"VB","Jellis","4/03/2017",9.2,3104,3,1,2,665,124,1950,"Boroondara",-37.7862,145.0781
"1033","Balwyn North","6 Stuart Ct",4,"h",1825000,"S","Fletchers","4/03/2017",9.2,3104,4,2,3,736,225,1958,"Boroondara",-37.7944,145.1028
"1036","Balwyn North","38 Nevada St",4,"h",1570000,"SP","Jellis","4/06/2016",9.2,3104,4,2,1,546,146.861538586252,1970,"Boroondara",-37.7863,145.0905
"1041","Balwyn North","45 Cityview Rd",4,"h",1750000,"PI","Ray","6/08/2016",9.2,3104,4,3,3,667,146.861538586252,1970,"Boroondara",-37.7898,145.079
"1042","Balwyn North","15 Ellendale St",3,"t",1150000,"S","Christopher","6/08/2016",9.2,3104,3,2,1,207,144,2003,"Boroondara",-37.7893,145.092
"1045","Balwyn North","85 Tannock St",3,"h",1575000,"PI","Noel","6/08/2016",9.2,3104,3,2,2,645,146.861538586252,1953,"Boroondara",-37.7851,145.0957
"1048","Balwyn North","1/9 Citron Av",3,"h",920000,"PI","Fletchers","7/05/2016",9.2,3104,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
